UserID,No Of Abuse Report,No Of Rejected Friend Requests,No Of Freind Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
99,66,292,283,897,143,53,43,1
100,96,674,991,747,471,10,9,1
101,4,661,478,951,288,69,66,1
102,9,975,839,719,782,31,100,0
103,70,579,80,412,271,59,40,1
104,48,626,244,899,75,99,15,1
105,13,496,557,664,493,24,15,0
106,5,898,160,367,380,99,97,1
107,51,771,291,974,695,39,13,1
108,42,12,806,252,304,44,14,1
109,31,534,619,161,263,78,98,1
110,15,372,437,38,907,20,25,0
111,54,172,517,467,108,42,18,1
112,32,170,193,916,303,31,2,1
113,51,154,376,379,549,100,36,1
114,27,129,999,625,917,60,37,1
115,36,384,87,269,530,47,32,1
116,69,29,398,423,185,26,9,1
117,56,571,186,570,917,45,80,1
118,20,985,647,410,35,80,47,1
119,25,380,883,665,946,75,94,1
120,35,410,577,677,533,39,4,1
121,52,422,394,329,5,15,6,1
122,20,573,680,844,189,75,88,1
123,56,354,949,829,310,31,7,1
124,90,194,110,706,272,25,43,1
125,6,695,753,807,630,28,68,0
126,19,308,704,523,453,50,57,0
127,55,662,109,492,333,45,59,1
128,95,637,201,783,268,68,46,1
129,38,136,884,579,376,61,34,1
130,25,537,741,927,174,63,44,1
131,93,243,983,742,922,82,13,1
132,52,582,468,803,255,64,31,1
133,26,863,168,713,387,46,21,0
134,35,979,880,717,51,42,50,1
135,39,394,421,677,769,49,4,1
136,30,13,355,129,974,7,39,0
137,58,228,302,785,618,45,54,1
138,67,295,476,226,88,17,68,1
139,10,466,132,745,442,14,92,0
140,11,926,332,270,468,13,60,0
141,22,461,330,677,720,46,83,0
142,7,747,359,264,159,59,85,1
143,4,794,234,75,430,78,59,1
144,72,629,214,749,303,18,26,1
145,11,10,644,818,9,1,9,0
146,38,740,175,292,298,88,45,1
147,26,391,98,723,581,83,79,1
148,66,321,711,649,297,7,44,1
149,81,915,952,306,885,41,88,1
150,76,169,450,265,328,47,71,1
151,20,135,312,853,812,7,89,0
152,99,454,709,612,759,100,13,1
153,65,485,110,240,908,84,3,1
154,23,959,413,839,138,5,4,0
155,78,665,406,288,452,12,100,1
156,31,12,460,297,855,28,29,1
157,46,388,80,984,340,39,73,1
158,60,601,596,75,439,72,43,1
159,28,636,847,632,495,9,78,0
160,73,77,489,788,286,40,87,1
161,96,313,954,453,604,54,50,1
162,79,495,820,26,814,21,27,1
163,68,417,747,601,71,80,34,1
164,87,538,673,985,584,50,77,1
165,80,76,598,857,322,88,54,1
166,47,386,821,613,35,36,64,1
167,21,286,133,571,162,44,87,0
168,74,538,867,860,887,9,52,1
169,72,693,412,219,585,8,16,1
170,51,880,975,683,661,54,93,1
171,5,975,708,340,377,73,98,1
172,3,767,280,894,223,61,34,1
173,49,885,131,814,165,37,18,1
174,40,153,654,936,197,80,55,1
175,97,147,445,75,153,77,70,1
176,43,419,151,956,652,72,64,1
177,82,729,302,556,342,11,3,1
178,79,785,53,660,539,11,50,1
179,76,975,496,211,581,47,25,1
180,92,677,714,274,107,3,31,1
181,58,452,545,214,442,97,92,1
182,14,768,380,41,844,37,81,0
183,59,119,217,76,316,33,57,1
184,32,481,395,711,65,92,43,1
185,76,898,650,371,744,2,84,1
186,18,757,226,16,240,64,29,1
187,77,181,148,958,655,33,22,1
188,93,332,717,520,665,79,5,1
189,14,657,677,738,715,64,96,1
190,22,344,498,854,739,44,22,0
191,23,925,437,876,516,16,60,0
192,80,278,824,601,477,73,26,1
193,32,534,810,499,267,46,52,1
194,21,462,815,769,324,28,63,0
195,50,281,461,595,810,55,59,1
196,46,913,596,799,674,96,77,1
197,53,205,670,453,346,13,20,1
198,55,614,581,437,835,11,51,1
199,79,940,135,857,514,81,57,1
200,1,741,431,280,591,52,64,1
201,60,854,661,964,407,1,40,1
202,61,375,890,420,341,84,77,1
203,47,336,747,264,429,9,41,1
204,79,329,76,425,169,61,21,1
205,2,640,435,289,742,91,97,1
206,64,865,63,356,347,26,2,1
207,52,156,842,389,705,62,53,1
208,99,682,64,756,787,28,20,1
209,23,317,393,883,381,67,51,1
210,68,546,586,1000,240,98,28,1
211,50,7,796,731,923,96,26,1
212,72,584,44,336,195,64,61,1
213,5,674,246,69,583,65,35,1
214,98,219,203,767,719,1,95,1
215,53,117,677,967,290,23,58,1
216,62,339,989,688,441,81,17,1
217,47,458,646,10,457,43,66,1
218,98,800,114,72,541,65,75,1
219,50,235,757,646,367,13,16,1
220,61,261,698,620,809,74,29,1
221,59,328,105,526,115,27,89,1
222,10,531,425,958,449,71,56,1
223,36,619,515,82,266,67,73,1
224,47,483,497,269,515,64,20,1
225,96,888,334,753,305,55,85,1
226,83,40,855,445,880,5,89,1
227,71,774,792,658,791,10,91,1
228,95,708,857,374,314,9,73,1
229,20,280,329,146,998,5,44,0
230,32,531,800,195,767,11,71,1
231,26,353,107,160,987,94,100,1
232,24,133,571,644,622,9,92,0
233,69,308,41,698,378,88,43,1
234,13,204,321,977,866,74,50,1
235,37,131,783,641,388,5,6,1
236,22,818,504,946,564,24,66,0
237,70,85,400,943,995,79,17,1
238,84,880,742,274,454,58,61,1
239,34,501,714,527,729,79,26,1
240,55,18,118,246,361,63,75,1
241,22,558,402,149,980,59,70,1
242,55,235,175,508,381,35,85,1
243,31,15,190,783,348,62,43,1
244,38,103,990,567,968,57,75,1
245,98,635,414,27,206,60,83,1
246,64,873,267,14,226,52,23,1
247,37,256,513,871,55,68,53,1
248,93,792,271,232,297,23,91,1
249,6,649,718,511,238,65,7,1
250,28,354,479,689,499,25,89,0
251,5,500,436,693,347,62,72,1
252,43,882,819,844,935,81,100,1
253,22,73,550,232,970,44,99,0
254,2,408,395,538,77,85,36,1
255,64,435,434,292,929,94,50,1
256,83,795,536,113,194,62,69,1
257,86,312,980,9,936,81,86,1
258,1,327,710,421,923,70,78,1
259,44,835,125,29,981,51,87,1
260,69,96,251,411,56,12,79,1
261,9,708,592,969,106,38,62,0
262,36,991,827,813,223,68,70,1
263,76,318,21,120,545,27,25,1
264,10,982,870,767,844,23,89,0
265,34,537,562,89,90,25,49,1
266,67,728,645,24,55,89,20,1
267,22,608,896,793,727,4,58,0
268,2,846,458,321,342,51,14,1
269,81,405,142,629,930,82,96,1
270,5,737,42,46,205,54,25,1
271,3,665,630,379,31,10,65,0
272,27,907,699,869,571,16,74,0
273,20,340,199,520,728,25,87,0
274,5,992,539,806,979,12,92,0
275,22,404,18,249,501,36,74,0
276,93,518,203,494,465,45,14,1
277,100,37,214,922,862,51,2,1
278,79,825,217,906,656,54,93,1
279,57,85,440,697,985,26,42,1
280,50,418,534,411,230,77,54,1
281,48,223,313,895,606,45,89,1
282,30,247,897,276,346,94,73,1
283,60,798,542,29,657,62,49,1
284,30,334,113,959,60,14,23,0
285,13,210,275,900,645,31,100,0
286,66,941,359,764,457,83,47,1
287,75,356,300,45,763,53,60,1
288,77,482,618,290,887,95,83,1
289,57,163,837,420,555,17,18,1
290,61,49,372,293,94,1,92,1
291,88,361,316,474,847,35,5,1
292,84,355,106,421,453,19,29,1
293,67,666,17,797,491,38,4,1
294,15,401,312,208,667,47,17,0
295,42,614,89,751,377,58,73,1
296,5,655,542,567,259,5,9,0
297,1,283,611,605,913,25,76,0
298,27,44,237,422,555,40,36,0
299,94,520,993,933,375,65,61,1
300,24,748,441,491,439,66,9,1
301,98,620,161,255,668,70,65,1
302,43,324,955,995,815,91,23,1
303,62,391,511,101,370,1,26,1
304,66,790,355,957,892,2,69,1
305,21,393,175,92,818,34,87,0
306,6,408,324,773,448,9,44,0
307,4,421,139,596,676,61,56,1
308,74,734,218,204,293,53,42,1
309,84,236,991,839,796,3,44,1
310,15,763,203,276,319,92,32,1
311,39,671,458,820,518,58,45,1
312,30,862,552,956,820,51,54,1
313,19,327,27,299,863,9,27,0
314,69,803,112,261,263,96,13,1
315,5,959,321,241,729,74,92,1
316,91,45,928,717,738,84,39,1
317,73,514,464,778,207,37,46,1
318,46,300,646,54,769,5,45,1
319,96,660,706,991,743,42,31,1
320,97,828,240,72,636,83,13,1
321,39,197,908,850,274,13,32,1
322,22,164,217,28,29,71,36,1
323,10,777,824,986,473,65,2,1
324,36,208,423,82,875,51,23,1
325,2,2,195,249,705,6,54,0
326,50,315,785,523,41,69,52,1
327,95,438,761,938,385,60,36,1
328,9,783,319,453,848,69,94,1
329,37,742,811,471,870,31,96,1
330,56,723,106,345,775,90,82,1
331,34,390,211,732,953,46,95,1
332,68,14,600,306,753,78,15,1
333,83,744,298,642,345,61,74,1
334,96,811,768,752,152,69,1,1
335,40,528,398,898,544,29,59,1
336,16,501,29,5,477,11,23,0
337,75,775,643,837,723,29,77,1
338,78,248,421,895,722,62,53,1
339,79,824,21,192,842,56,16,1
340,90,91,280,885,965,20,17,1
341,48,65,550,229,435,29,99,1
342,96,394,430,509,51,96,73,1
343,57,823,660,284,820,48,22,1
344,69,818,219,418,790,92,86,1
345,7,154,883,904,684,25,12,0
346,5,1000,824,18,458,3,53,0
347,97,118,232,815,216,10,90,1
348,96,9,186,398,154,9,33,1
349,72,243,209,383,395,36,7,1
350,88,695,502,557,887,44,91,1
351,49,638,448,93,321,28,42,1
352,18,807,806,58,113,51,4,1
353,49,122,872,307,286,22,40,1
354,31,328,371,456,516,60,43,1
355,67,773,941,45,327,72,11,1
356,26,538,61,938,111,4,88,0
357,27,807,837,976,762,98,26,1
358,96,797,52,257,819,5,66,1
359,91,799,539,105,985,1,35,1
360,48,221,313,595,309,86,20,1
361,27,120,222,16,527,60,12,1
362,65,643,672,45,94,58,57,1
363,26,593,998,784,770,19,10,0
364,11,529,917,59,879,29,4,0
365,69,732,197,921,596,19,9,1
366,92,24,382,525,474,49,54,1
367,27,401,352,94,287,100,99,1
368,42,838,725,62,925,26,73,1
369,27,19,992,688,621,67,20,1
370,29,970,675,560,657,95,45,1
371,25,90,871,792,801,86,83,1
372,56,888,375,205,944,51,49,1
373,72,167,158,753,297,36,91,1
374,64,772,889,197,70,85,45,1
375,11,440,818,541,602,75,8,1
376,29,709,363,404,303,6,34,0
377,65,83,536,385,990,17,32,1
378,11,689,139,224,33,38,19,0
379,35,504,273,385,305,40,47,1
380,4,810,653,331,846,87,96,1
381,24,631,221,719,852,52,100,1
382,33,952,149,561,689,33,47,1
383,81,592,839,675,33,75,20,1
384,16,814,81,881,877,100,24,1
385,28,768,152,86,152,86,11,1
386,44,889,212,707,767,53,46,1
387,81,548,333,168,124,80,87,1
388,97,949,271,660,360,48,76,1
389,22,838,363,901,650,51,17,1
390,5,783,121,91,815,20,44,0
391,42,37,528,447,10,89,12,1
392,70,670,601,889,394,62,21,1
393,64,444,407,406,443,65,2,1
394,64,22,897,321,909,70,31,1
395,5,245,485,420,666,71,14,1
396,57,836,329,756,842,99,3,1
397,10,902,305,762,702,70,80,1
398,56,682,965,307,417,8,67,1
399,9,490,220,828,127,11,56,0
400,59,108,469,989,380,56,28,1
401,30,945,331,466,387,36,98,0
402,84,560,816,743,145,22,36,1
403,84,155,434,316,51,45,45,1
404,76,788,961,265,372,63,93,1
405,92,997,195,19,770,19,94,1
406,47,784,971,522,524,34,1,1
407,16,161,400,617,670,85,26,1
408,17,73,763,216,92,69,40,1
409,84,578,155,4,818,25,49,1
410,27,616,300,740,729,53,11,1
411,81,124,540,237,146,38,48,1
412,1,958,672,405,125,72,36,1
413,47,419,122,460,191,74,8,1
414,44,873,270,281,454,30,31,1
415,53,847,20,445,730,77,99,1
416,100,247,790,617,817,57,70,1
417,82,754,290,752,965,74,25,1
418,76,954,418,827,658,37,37,1
419,6,546,411,127,244,18,43,0
420,68,580,592,234,399,62,38,1
421,68,31,672,731,845,20,19,1
422,12,789,416,59,543,58,49,1
423,51,919,325,51,29,47,6,1
424,72,309,605,23,816,39,51,1
425,28,858,724,89,138,22,11,0
426,75,591,925,881,848,28,27,1
427,81,219,531,493,806,62,1,1
428,21,408,416,74,618,21,89,0
429,77,22,522,267,968,45,21,1
430,78,196,66,78,687,60,96,1
431,32,879,587,432,122,55,44,1
432,45,648,60,42,572,67,22,1
433,55,670,312,888,173,1,28,1
434,77,465,358,650,639,37,67,1
435,90,212,34,543,705,4,20,1
436,84,575,715,974,449,64,58,1
437,58,877,735,632,448,52,50,1
438,92,944,882,478,997,14,100,1
439,33,400,108,47,898,69,16,1
440,75,194,57,774,973,60,39,1
441,86,632,642,496,222,72,55,1
442,71,653,443,370,820,89,72,1
443,77,231,942,558,753,51,86,1
444,46,596,466,524,624,75,59,1
445,20,314,345,732,905,62,20,1
446,6,987,44,318,299,16,95,0
447,49,722,597,465,526,52,16,1
448,49,347,514,286,724,4,66,1
449,16,897,658,858,522,95,35,1
450,11,975,544,512,661,54,89,1
451,6,58,868,487,485,28,61,0
452,87,918,284,662,429,98,30,1
453,42,381,84,555,637,53,93,1
454,69,657,534,324,791,37,50,1
455,36,331,361,611,574,70,32,1
456,14,790,937,773,518,69,51,1
457,28,810,6,649,227,58,3,1
458,36,945,906,291,584,49,43,1
459,3,673,365,226,346,12,34,0
460,9,166,444,881,243,52,47,1
461,88,18,677,939,272,37,51,1
462,10,363,188,534,746,82,58,1
463,40,108,806,873,864,40,18,1
464,73,662,648,327,937,95,61,1
465,53,951,902,571,679,61,19,1
466,30,712,306,66,552,88,71,1
467,15,271,434,605,113,52,57,1
468,60,980,154,639,973,78,24,1
469,89,335,783,264,46,45,8,1
470,56,591,922,414,451,97,23,1
471,100,426,1000,767,710,13,13,1
472,26,816,165,880,26,80,91,1
473,38,179,949,686,551,11,44,1
474,57,698,448,946,288,35,49,1
475,60,707,936,149,302,48,93,1
476,20,756,382,336,441,1,6,0
477,26,402,655,806,523,75,97,1
478,56,929,726,271,802,39,24,1
479,35,710,465,701,368,18,100,1
480,68,620,451,277,209,47,3,1
481,24,291,399,627,50,44,49,0
482,82,80,85,336,155,28,50,1
483,23,617,820,779,957,97,67,1
484,1,384,248,239,797,37,10,0
485,91,500,383,491,892,22,8,1
486,36,385,143,902,412,28,25,1
487,19,911,225,87,358,61,52,1
488,66,73,792,21,542,29,87,1
489,28,812,154,158,794,58,54,1
490,90,421,664,637,987,32,62,1
491,51,994,120,937,975,61,66,1
492,83,295,335,556,359,52,11,1
493,90,135,59,856,223,7,1,1
494,69,803,503,523,425,11,68,1
495,20,780,720,67,662,45,77,0
496,81,50,153,305,997,35,43,1
497,52,391,407,898,200,4,23,1
498,88,892,406,318,258,35,72,1
499,99,865,80,110,598,51,28,1
500,31,501,684,120,201,58,84,1
501,39,252,493,964,512,28,87,1
502,54,453,474,982,726,71,100,1
503,69,231,925,713,718,56,28,1
504,10,251,978,755,232,11,51,0
505,9,718,463,334,954,26,85,0
506,39,426,600,928,138,39,35,1
507,86,42,816,707,863,25,3,1
508,28,72,797,290,466,24,5,0
509,59,765,140,517,929,21,58,1
510,24,397,326,177,842,69,13,1
511,68,393,594,102,147,27,42,1
512,15,790,901,859,518,4,42,0
513,92,558,773,951,49,99,45,1
514,75,351,316,218,435,92,13,1
515,26,996,974,959,464,87,10,1
516,78,696,19,231,685,98,46,1
517,50,998,42,274,744,93,1,1
518,29,541,61,182,966,9,69,0
519,90,892,899,445,564,27,63,1
520,40,884,921,257,77,60,51,1
521,5,408,155,7,426,24,25,0
522,48,500,813,20,700,33,69,1
523,2,991,269,164,112,54,32,1
524,97,233,818,970,373,28,42,1
525,73,710,113,506,490,31,3,1
526,50,255,594,919,881,71,44,1
527,45,304,901,265,892,9,58,1
528,55,603,410,871,115,1,93,1
529,60,382,72,709,575,79,52,1
530,37,527,387,925,742,56,19,1
531,17,305,980,972,660,44,96,0
532,7,513,876,436,546,70,32,1
533,66,862,757,185,590,83,87,1
534,9,723,460,590,191,86,53,1
535,3,715,682,882,666,68,43,1
536,30,28,716,290,431,53,40,1
537,1,514,43,224,248,34,76,0
538,99,975,848,979,131,63,92,1
539,17,354,297,380,890,25,65,0
540,91,856,241,482,426,3,41,1
541,47,897,207,819,35,97,59,1
542,89,977,601,108,93,52,66,1
543,18,704,180,388,945,34,53,0
544,70,251,50,143,401,83,96,1
545,40,554,898,113,259,5,2,1
546,42,21,212,830,167,25,55,1
547,100,866,648,72,521,96,32,1
548,49,955,186,366,610,13,71,1
549,41,833,164,800,758,82,30,1
550,10,754,456,845,308,30,89,0
551,30,18,314,539,463,1,57,0
552,53,592,172,355,406,57,100,1
553,82,641,996,14,136,89,44,1
554,78,392,822,589,212,92,57,1
555,77,977,552,481,795,44,21,1
556,70,661,515,643,17,30,50,1
557,38,827,211,419,211,35,7,1
558,26,864,231,669,144,79,87,1
559,57,32,564,268,179,53,24,1
560,82,14,287,958,829,4,30,1
561,49,305,378,77,586,38,64,1
562,69,356,690,290,592,3,93,1
563,11,857,564,147,376,97,73,1
564,14,265,907,579,430,84,73,1
565,23,183,866,419,306,62,11,1
566,20,125,480,288,969,33,46,0
567,8,342,164,370,808,64,37,1
568,91,611,633,169,560,74,90,1
569,60,232,542,306,440,82,95,1
570,79,31,871,406,373,4,92,1
571,45,869,161,965,307,65,13,1
572,95,288,550,811,720,90,21,1
573,73,597,563,683,231,69,28,1
574,8,770,195,813,734,33,33,0
575,11,542,771,897,900,4,96,0
576,17,969,958,749,319,68,89,1
577,94,36,991,202,3,47,4,1
578,98,298,349,222,87,36,34,1
579,68,940,130,54,673,54,56,1
580,90,365,86,675,466,84,68,1
581,44,438,43,422,489,66,34,1
582,37,523,65,243,35,32,11,1
583,1,699,687,39,814,79,84,1
584,57,923,233,388,578,99,35,1
585,27,209,813,308,843,85,9,1
586,69,365,855,434,396,78,23,1
587,100,859,465,476,618,90,95,1
588,12,642,677,964,890,51,32,1
589,93,540,50,435,66,72,72,1
590,62,585,958,954,60,49,91,1
591,45,374,247,927,270,15,81,1
592,94,83,426,834,444,19,57,1
593,69,388,3,400,579,13,56,1
594,40,797,52,215,122,12,22,1
595,32,287,953,859,113,31,100,1
596,10,135,556,672,486,25,74,0
597,49,156,227,243,715,25,5,1
598,69,837,760,670,5,27,87,1
599,39,851,446,491,379,54,85,1
600,4,292,834,673,467,45,5,0
601,13,50,802,34,649,78,8,1
602,69,166,455,422,127,95,72,1
603,67,945,486,986,901,72,83,1
604,25,857,606,286,124,70,86,1
605,74,226,410,342,753,93,27,1
606,31,956,310,948,311,65,31,1
607,76,769,358,578,600,77,88,1
608,60,594,441,829,982,7,27,1
609,45,241,697,984,937,52,37,1
610,67,747,867,780,989,66,39,1
611,85,331,901,738,804,20,45,1
612,1,289,606,194,84,28,93,0
613,21,256,222,586,997,62,35,1
614,79,802,141,434,263,62,7,1
615,70,819,364,499,890,64,75,1
616,4,245,749,501,42,64,34,1
617,52,974,125,971,411,59,31,1
618,100,178,555,193,500,97,17,1
619,73,425,244,803,146,59,87,1
620,84,546,818,587,616,89,6,1
621,24,640,932,483,95,17,100,0
622,60,952,904,311,29,95,65,1
623,98,769,499,714,871,95,80,1
624,46,362,293,197,844,42,17,1
625,9,115,685,382,315,84,42,1
626,30,499,546,602,228,40,41,0
627,41,875,383,30,575,60,63,1
628,19,33,992,855,410,27,2,0
629,42,438,561,680,619,28,6,1
630,37,591,339,732,771,90,38,1
631,64,165,76,817,795,70,6,1
632,81,538,382,963,187,27,2,1
633,10,173,669,533,66,84,88,1
634,93,182,355,751,958,55,75,1
635,18,3,475,604,954,46,77,0
636,87,401,990,687,374,57,37,1
637,15,745,542,321,300,84,73,1
638,20,766,181,634,738,65,20,1
639,17,380,411,961,187,19,61,0
640,20,341,890,729,904,93,94,1
641,14,695,883,60,153,73,26,1
642,7,18,898,255,438,29,44,0
643,69,224,296,731,244,27,64,1
644,6,883,516,584,485,42,75,0
645,81,669,904,675,472,7,44,1
646,73,900,152,690,690,29,88,1
647,4,181,215,781,297,26,78,0
648,59,888,334,996,213,18,10,1
649,63,159,736,326,700,85,6,1
650,56,673,153,745,135,50,7,1
651,87,710,201,824,230,98,62,1
652,45,270,745,200,754,90,20,1
653,73,88,65,940,163,78,75,1
654,10,953,672,303,306,8,51,0
655,40,620,865,19,743,30,47,1
656,100,682,119,1000,522,90,66,1
657,99,610,67,580,85,66,52,1
658,72,687,738,220,97,67,38,1
659,25,770,950,385,951,55,65,1
660,53,172,235,612,36,39,31,1
661,4,361,269,984,562,88,49,1
662,80,758,838,559,339,54,95,1
663,27,235,453,616,902,74,27,1
664,11,482,683,758,959,40,67,0
665,79,271,115,433,820,94,49,1
666,75,41,418,716,199,60,52,1
667,78,910,289,747,502,43,47,1
668,38,784,615,608,256,42,89,1
669,33,981,275,474,168,81,42,1
670,41,709,922,17,287,12,15,1
671,21,688,561,25,707,52,18,1
672,28,833,573,236,275,80,92,1
673,64,771,411,779,38,49,30,1
674,100,829,834,871,565,23,5,1
675,10,575,619,886,983,92,97,1
676,77,271,531,204,42,99,43,1
677,93,786,101,489,948,90,68,1
678,20,908,664,473,530,21,17,0
679,45,356,866,248,63,54,19,1
680,37,407,124,885,320,99,85,1
681,58,411,4,411,513,84,27,1
682,52,472,73,635,850,74,11,1
683,71,106,298,483,697,16,95,1
684,54,586,10,381,645,35,67,1
685,82,10,406,611,583,94,60,1
686,74,558,881,751,574,41,56,1
687,44,669,350,839,332,4,76,1
688,5,166,824,497,391,41,57,0
689,14,505,81,834,889,1,71,0
690,87,253,783,661,282,85,40,1
691,24,981,96,958,554,56,97,1
692,68,907,511,631,299,72,91,1
693,28,245,867,68,53,78,14,1
694,23,348,777,115,712,60,38,1
695,4,886,861,567,177,12,8,0
696,24,85,854,821,228,58,78,1
697,8,515,104,456,119,91,75,1
698,64,313,154,555,258,10,20,1
699,78,31,799,52,384,11,39,1
700,94,110,99,333,759,79,70,1
701,24,80,968,744,669,64,88,1
702,84,462,598,56,703,61,36,1
703,69,797,74,286,813,11,43,1
704,40,73,10,935,645,53,36,1
705,86,142,87,292,825,40,63,1
706,77,194,485,193,603,92,60,1
707,37,497,103,923,923,9,34,1
708,92,53,887,808,959,1,38,1
709,24,971,960,460,565,36,99,0
710,30,782,915,104,259,89,100,1
711,68,913,700,186,89,72,2,1
712,92,702,355,8,414,84,33,1
713,19,506,43,31,344,49,60,0
714,22,457,66,438,394,36,34,0
715,34,414,693,512,551,62,86,1
716,56,947,532,507,481,12,16,1
717,100,349,12,384,170,44,37,1
718,66,606,65,498,139,90,50,1
719,6,363,836,97,589,78,53,1
720,19,329,486,18,608,12,27,0
721,17,956,721,379,892,22,25,0
722,40,991,43,360,781,76,88,1
723,7,801,253,158,75,71,29,1
724,99,569,885,768,537,72,73,1
725,45,305,188,114,278,15,10,1
726,52,961,436,923,636,50,58,1
727,52,456,435,409,818,72,16,1
728,58,697,755,474,432,66,75,1
729,98,437,733,690,604,94,67,1
730,85,718,956,674,818,46,40,1
731,80,685,857,981,731,90,12,1
732,3,634,912,893,5,84,86,1
733,5,981,533,65,402,39,3,0
734,48,964,824,579,610,79,39,1
735,91,472,118,181,540,24,15,1
736,90,551,659,35,281,61,30,1
737,32,611,491,209,861,84,79,1
738,90,473,89,369,29,94,56,1
739,35,200,457,666,642,25,95,1
740,92,495,930,470,602,11,98,1
741,76,808,440,636,781,35,57,1
742,66,111,791,318,691,60,22,1
743,47,363,761,300,652,55,77,1
744,44,850,327,675,933,70,24,1
745,4,673,867,702,507,26,51,0
746,53,618,265,937,138,19,4,1
747,44,568,625,869,677,38,48,1
748,24,109,544,358,946,85,76,1
749,62,885,425,949,340,60,27,1
750,94,7,656,759,245,42,13,1
751,31,280,813,56,229,94,16,1
752,95,213,445,925,444,50,72,1
753,7,111,530,17,176,14,14,0
754,69,608,82,45,975,7,48,1
755,63,519,343,456,856,78,42,1
756,45,776,5,432,983,96,11,1
757,45,683,851,816,797,20,83,1
758,38,436,517,724,956,43,70,1
759,75,23,45,469,105,70,22,1
760,7,623,473,501,409,63,25,1
761,35,900,388,512,935,63,12,1
762,34,739,809,280,584,75,42,1
763,81,660,147,708,50,13,86,1
764,48,590,937,649,457,78,80,1
765,77,394,546,4,260,27,17,1
766,26,522,79,138,618,98,43,1
